Location,Date,Temperature_F
Utah,6/1/2001,67.1
Utah,7/1/2001,72.9
Utah,8/1/2001,72.4
Utah,9/1/2001,65.2
Utah,10/1/2001,52.2
Utah,11/1/2001,39.3
Utah,12/1/2001,25
Utah,1/1/2002,26.1
Utah,2/1/2002,29
Utah,3/1/2002,36
Utah,4/1/2002,49.7
Utah,5/1/2002,56.3
Utah,6/1/2002,68.7
Utah,7/1/2002,76.2
Utah,8/1/2002,70.7
Utah,9/1/2002,61
Utah,10/1/2002,47
Utah,11/1/2002,35.9
Utah,12/1/2002,29.3
Utah,1/1/2003,35.2
Utah,2/1/2003,31
Utah,3/1/2003,40.3
Utah,4/1/2003,45.8
Utah,5/1/2003,57.4
Utah,6/1/2003,66
Utah,7/1/2003,77.2
Utah,8/1/2003,72.7
Utah,9/1/2003,62.2
Utah,10/1/2003,55
Utah,11/1/2003,34.1
Utah,12/1/2003,30.3
Utah,1/1/2004,24.2
Utah,2/1/2004,27.8
Utah,3/1/2004,45.6
Utah,4/1/2004,48
Utah,5/1/2004,57
Utah,6/1/2004,66.1
Utah,7/1/2004,72.2
Utah,8/1/2004,68.6
Utah,9/1/2004,60.2
Utah,10/1/2004,48.9
Utah,11/1/2004,35.7
Utah,12/1/2004,30.1
Utah,1/1/2005,32.6
Utah,2/1/2005,33.5
Utah,3/1/2005,39
Utah,4/1/2005,45.9
Utah,5/1/2005,56
Utah,6/1/2005,61.8
Utah,7/1/2005,74.8
Utah,8/1/2005,69
Utah,9/1/2005,60.8
Utah,10/1/2005,50.4
Utah,11/1/2005,39
Utah,12/1/2005,29.2
Utah,1/1/2006,29.9
Utah,2/1/2006,31.5
Utah,3/1/2006,36.3
Utah,4/1/2006,48.4
Utah,5/1/2006,58.9
Utah,6/1/2006,68.8
Utah,7/1/2006,75
Utah,8/1/2006,69.7
Utah,9/1/2006,58.1
Utah,10/1/2006,47.3
Utah,11/1/2006,38.2
Utah,12/1/2006,27.9
Utah,1/1/2007,22.4
Utah,2/1/2007,34.3
Utah,3/1/2007,43
Utah,4/1/2007,48.3
Utah,5/1/2007,57.7
Utah,6/1/2007,68.2
Utah,7/1/2007,76.2
Utah,8/1/2007,72.8
Utah,9/1/2007,61.7
Utah,10/1/2007,48.9
Utah,11/1/2007,40.6
Utah,12/1/2007,24.6
Utah,1/1/2008,22.8
Utah,2/1/2008,30.5
Utah,3/1/2008,37.2
Utah,4/1/2008,43.1
Utah,5/1/2008,52.8
Utah,6/1/2008,65
Utah,7/1/2008,74.1
Utah,8/1/2008,71.6
Utah,9/1/2008,61.9
Utah,10/1/2008,50.4
Utah,11/1/2008,40.9
Utah,12/1/2008,27
Utah,1/1/2009,29.5
Utah,2/1/2009,33.1
Utah,3/1/2009,39.2
Utah,4/1/2009,45.3
Utah,5/1/2009,58.7
Utah,6/1/2009,62
Utah,7/1/2009,73.2
Utah,8/1/2009,69.7
Utah,9/1/2009,64.3
Utah,10/1/2009,45.7
Utah,11/1/2009,39
Utah,12/1/2009,21.6
Utah,1/1/2010,27
Utah,2/1/2010,29.9
Utah,3/1/2010,38
Utah,4/1/2010,44.7
Utah,5/1/2010,50.2
Utah,6/1/2010,65.4
Utah,7/1/2010,73.1
Utah,8/1/2010,69.3
Utah,9/1/2010,63.8
Utah,10/1/2010,51.1
Utah,11/1/2010,34.8
Utah,12/1/2010,32.5
Utah,1/1/2011,25.4
Utah,2/1/2011,28.6
Utah,3/1/2011,39.4
Utah,4/1/2011,43.5
Utah,5/1/2011,50.8
Utah,6/1/2011,63.3
Utah,7/1/2011,71.8
Utah,8/1/2011,72.5
Utah,9/1/2011,63.2
Utah,10/1/2011,50
Utah,11/1/2011,36
Utah,12/1/2011,26.8
Utah,1/1/2012,31
Utah,2/1/2012,31.7
Utah,3/1/2012,42.6
Utah,4/1/2012,49.6
Utah,5/1/2012,58
Utah,6/1/2012,68.7
Utah,7/1/2012,73.2
Utah,8/1/2012,73
Utah,9/1/2012,63.6
Utah,10/1/2012,50.9
Utah,11/1/2012,41.2
Utah,12/1/2012,27.8
Utah,1/1/2013,19.7
Utah,2/1/2013,27.6
Utah,3/1/2013,41
Utah,4/1/2013,45
Utah,5/1/2013,56
Utah,6/1/2013,69.2
Utah,7/1/2013,74.6
Utah,8/1/2013,71
Utah,9/1/2013,61.4
Utah,10/1/2013,46.4
Utah,11/1/2013,38
Utah,12/1/2013,23.1
Utah,1/1/2014,30.4
Utah,2/1/2014,35.7
Utah,3/1/2014,41
Utah,4/1/2014,46.7
Utah,5/1/2014,56.5
Utah,6/1/2014,66
Utah,7/1/2014,74.6
Utah,8/1/2014,67.7
Utah,9/1/2014,64.2
Utah,10/1/2014,53.1
Utah,11/1/2014,37.7
Utah,12/1/2014,31.7
Utah,1/1/2015,32.1
Utah,2/1/2015,38.9
Utah,3/1/2015,44.9
Utah,4/1/2015,47.1
Utah,5/1/2015,53.8
Utah,6/1/2015,70
Utah,7/1/2015,70.1
Utah,8/1/2015,71
Utah,9/1/2015,65.5
Utah,10/1/2015,54.3
Utah,11/1/2015,34.5
Utah,12/1/2015,26.6
Vermont,1/1/2000,15
Vermont,2/1/2000,20.8
Vermont,3/1/2000,34.1
Vermont,4/1/2000,39.8
Vermont,5/1/2000,52.9
Vermont,6/1/2000,60.4
Vermont,7/1/2000,63.1
Vermont,8/1/2000,63.3
Vermont,9/1/2000,55.5
Vermont,10/1/2000,45.6
Vermont,11/1/2000,34.8
Vermont,12/1/2000,16.6
Vermont,1/1/2001,17.8
Vermont,2/1/2001,19.5
Vermont,3/1/2001,25.2
Vermont,4/1/2001,39.9
Vermont,5/1/2001,54.8
Vermont,6/1/2001,63.2
Vermont,7/1/2001,63.6
Vermont,8/1/2001,67.9
Vermont,9/1/2001,57.4
Vermont,10/1/2001,47.8
Vermont,11/1/2001,38.5
Vermont,12/1/2001,29.8
Vermont,1/1/2002,25.2
Vermont,2/1/2002,24
Vermont,3/1/2002,29.7
Vermont,4/1/2002,43.4
Vermont,5/1/2002,49.4
Vermont,6/1/2002,60.6
Vermont,7/1/2002,66.5
Vermont,8/1/2002,66.8
Vermont,9/1/2002,60.4
Vermont,10/1/2002,42.9
Vermont,11/1/2002,32.3
Vermont,12/1/2002,21.6
Vermont,1/1/2003,9.5
Vermont,2/1/2003,14.2
Vermont,3/1/2003,27.8
Vermont,4/1/2003,38.1
Vermont,5/1/2003,51.9
Vermont,6/1/2003,61.7
Vermont,7/1/2003,66.5
Vermont,8/1/2003,67.3
